5_5;01.02.06;360;212;0;0;276;541;0;24;24;0;0;24;24;0;8;3;0;0;8;12;0;7;3;0;0;6;11;0;
5_5;09.02.06;0;0;0;501;618;339;-12;0;0;0;27;27;27;27;0;0;0;11;13;7;4;0;0;0;9;11;4;2;
5_5;25.02.06;288;0;125;0;-63;335;153;33;0;15;0;33;33;33;7;0;4;0;15;10;12;6;0;4;0;10;9;8;
5_5;01.03.06;0;-348;0;0;288;0;476;0;21;0;0;21;0;21;0;11;0;0;8;0;11;0;7;0;0;5;0;8;
5_5;08.03.06;0;59;0;427;212;0;-28;0;6;0;27;27;0;27;0;3;0;9;14;0;2;0;2;0;7;10;0;1;
5_5;15.03.06;142;168;0;297;457;0;0;12;21;0;24;24;0;0;2;3;0;13;9;0;0;2;3;0;11;8;0;0;
5_5;06.04.06;25;204;0;294;490;213;0;15;27;0;27;27;9;0;3;3;0;13;9;4;0;2;3;0;11;8;4;0;
6;09.04.06;0;289;0;0;408;0;-536;0;18;0;0;18;0;18;0;8;0;0;4;0;6;0;7;0;0;4;0;4;
6;21.04.06;478;245;0;631;87;0;140;36;18;0;36;36;0;18;9;6;0;19;6;0;6;9;5;0;17;4;0;5;
6;27.04.06;0;0;0;552;83;0;217;0;0;0;33;33;0;33;0;0;0;9;16;0;8;0;0;0;8;12;0;6;
6;04.05.06;642;-24;0;104;-8;0;358;24;12;0;24;24;0;24;8;2;0;6;10;0;10;8;1;0;4;6;0;8;
6;11.05.06;87;478;0;393;410;0;498;30;27;0;30;30;0;30;6;9;0;13;9;0;9;5;9;0;12;8;0;9;
6;01.06.06;115;0;0;313;330;0;440;24;0;0;24;24;0;24;6;0;0;7;10;0;9;5;0;0;6;6;0;8;
6;08.06.06;135;434;178;453;895;0;-20;33;33;27;27;27;0;33;10;10;9;12;13;0;5;5;9;7;12;10;0;3;
6;15.06.06;0;148;0;0;427;0;349;0;18;0;0;18;0;18;0;3;0;0;6;0;9;0;3;0;0;6;0;8;
6;22.06.06;0;202;0;0;413;0;-44;0;24;0;0;24;0;24;0;5;0;0;16;0;7;0;4;0;0;10;0;4;
6;20.07.06;51;0;0;-28;189;0;124;24;0;0;24;24;0;24;4;0;0;6;14;0;7;3;0;0;3;11;0;5;
6;27.07.06;0;0;0;642;1;0;306;0;0;0;27;27;0;27;0;0;0;11;9;0;7;0;0;0;11;6;0;7;
6;10.08.06;70;179;0;0;293;0;0;18;18;0;0;18;0;0;5;5;0;0;8;0;0;4;4;0;0;6;0;0;
6;17.08.06;-54;269;0;0;107;0;492;9;24;0;0;24;0;24;3;7;0;0;7;0;10;1;6;0;0;4;0;10;
6;24.08.06;132;570;0;0;3;781;404;15;21;0;0;27;27;27;2;8;0;0;8;10;10;2;7;0;0;6;10;8;
6;31.08.06;43;472;0;215;0;318;272;18;15;0;21;0;21;21;5;8;0;4;0;8;7;3;6;0;4;0;7;6;
