7;29.03.07;92;0;0;833;315;0;567;18;0;0;27;27;0;27;3;0;0;11;11;0;8;2;0;0;10;8;0;7
7;05.04.07;167;0;185;0;1061;705;-177;36;0;36;0;45;45;30;10;0;9;0;18;19;7;9;0;6;0;17;16;4
7;12.04.07;589;0;0;0;0;574;156;33;0;0;0;0;33;33;12;0;0;0;0;12;7;11;0;0;0;0;10;7
7;20.04.07;708;144;0;0;655;740;-92;36;33;0;0;45;45;15;16;9;0;0;16;13;6;16;7;0;0;15;12;3
7;26.04.07;178;0;0;0;232;0;212;27;0;0;0;27;0;27;9;0;0;0;8;0;10;7;0;0;0;7;0;7
7;28.04.07;0;399;361;0;309;0;0;0;45;45;0;45;0;0;0;12;15;0;17;0;0;0;10;13;0;13;0;0
7;03.05.07;115;0;0;169;44;257;103;12;0;0;24;24;24;15;3;0;0;8;8;6;8;2;0;0;7;5;6;5
7;10.05.07;136;-1;0;203;209;-70;0;9;24;0;15;24;24;0;4;8;0;5;11;4;0;3;5;0;5;9;2;0
7;24.05.07;118;0;0;494;224;1116;0;18;0;0;33;33;33;0;4;0;0;13;7;15;0;3;0;0;10;6;15;0
7;31.05.07;48;0;0;274;779;323;-34;18;0;0;24;27;27;24;1;0;0;11;12;9;6;1;0;0;8;11;8;3
7;07.06.07;228;360;0;-6;415;380;143;30;24;0;24;30;24;21;5;9;0;6;14;11;5;5;8;0;4;11;10;4
7;14.06.07;90;0;0;267;292;186;274;21;0;0;18;27;9;27;5;0;0;4;13;4;6;4;0;0;4;10;4;5
7;21.06.07;281;68;0;33;46;628;0;15;30;0;21;30;30;0;5;3;0;9;14;11;0;4;2;0;7;8;11;0
7;05.07.07;415;0;0;0;590;652;-122;30;0;0;0;30;30;18;6;0;0;0;12;13;4;6;0;0;0;11;11;3
7;12.07.07;-148;0;0;-38;610;650;0;18;0;0;30;33;33;0;6;0;0;5;13;12;0;3;0;0;4;12;10;0
7;25.07.07;526;462;0;0;259;104;188;27;24;0;0;27;12;18;5;9;0;0;10;5;7;5;9;0;0;8;4;6
7;02.08.07;268;0;0;502;225;0;36;33;0;0;33;33;0;15;9;0;0;12;13;0;1;8;0;0;11;10;0;1
7;09.08.07;0;0;0;576;380;0;-35;0;0;0;30;30;0;30;0;0;0;9;14;0;7;0;0;0;8;12;0;6
7;23.08.07;301;0;0;0;386;0;432;36;0;0;0;36;0;36;7;0;0;0;18;0;9;7;0;0;0;13;0;8
7;13.09.07;260;356;0;307;216;0;0;15;24;0;24;24;0;0;6;5;0;10;8;0;0;5;5;0;8;7;0;0
7;27.09.07;162;0;0;61;-205;0;0;21;0;0;21;21;0;0;5;0;0;7;9;0;0;4;0;0;6;5;0;0
